max_residues,max_batch,time
1,1,103.1121232509613
1,64,104.17984223365784
1,4096,104.27423572540283
1,262144,105.25776076316833
1,16777216,104.98865175247192
1,1073741824,103.87122201919556
1,68719476736,103.40105986595154
64,1,102.49074339866638
64,64,102.29910278320312
64,4096,102.67682957649231
64,262144,102.87267875671387
64,16777216,103.25259757041931
64,1073741824,103.0912344455719
64,68719476736,102.74367713928223
4096,1,103.38267493247986
4096,64,56.90937328338623
4096,4096,57.10740685462952
4096,262144,57.10675597190857
4096,16777216,57.08558940887451
4096,1073741824,57.01034331321716
4096,68719476736,57.06999492645264
262144,1,103.19426703453064
262144,64,Runtime Error
262144,4096,Runtime Error
262144,262144,Runtime Error
262144,16777216,Runtime Error
262144,1073741824,Runtime Error
262144,68719476736,Runtime Error
16777216,1,103.09845662117004
16777216,64,Runtime Error
16777216,4096,Runtime Error
16777216,262144,Runtime Error
16777216,16777216,Runtime Error
16777216,1073741824,Runtime Error
16777216,68719476736,Runtime Error
1073741824,1,102.19389176368713
1073741824,64,Runtime Error
1073741824,4096,Runtime Error
1073741824,262144,Runtime Error
1073741824,16777216,Runtime Error
1073741824,1073741824,Runtime Error
1073741824,68719476736,Runtime Error
68719476736,1,102.7576277256012
68719476736,64,Runtime Error
68719476736,4096,Runtime Error
68719476736,262144,Runtime Error
68719476736,16777216,Runtime Error
68719476736,1073741824,Runtime Error
68719476736,68719476736,Runtime Error
